Date,Price,Open,High,Low,Vol.,Change %
04/29/2025,61.61,62.02,62.08,61.57,18.09K,-0.66%
04/28/2025,62.02,63.49,63.92,61.48,1.16K,-1.59%
04/25/2025,63.02,62.86,63.41,61.80,283.76K,0.37%
04/24/2025,62.79,62.34,63.31,61.99,264.91K,0.84%
04/23/2025,62.27,64.00,64.87,61.53,397.84K,-3.17%
04/22/2025,64.31,63.43,65.09,63.43,34.95K,1.95%
04/21/2025,63.08,64.30,64.42,62.45,82.67K,-2.47%
04/17/2025,64.68,62.63,64.86,62.61,111.48K,3.54%
04/16/2025,62.47,61.54,62.98,60.44,213.19K,2.83%
04/15/2025,60.75,61.09,61.57,60.38,206.48K,-0.49%
04/14/2025,61.05,61.15,62.07,60.12,224.09K,-0.73%
04/11/2025,61.50,60.20,61.87,59.43,306.23K,2.38%
04/10/2025,60.07,62.71,63.34,58.76,391.83K,-3.66%
04/09/2025,62.35,58.32,62.93,55.12,592.25K,4.65%
04/08/2025,59.58,61.03,61.75,57.88,557.66K,-1.85%
04/07/2025,60.70,61.12,63.90,58.95,597.62K,-2.08%
04/04/2025,61.99,66.64,66.90,60.45,559.64K,-7.41%
04/03/2025,66.95,70.38,70.41,65.98,459.24K,-6.64%
04/02/2025,71.71,71.20,72.28,70.59,286.50K,0.72%
04/01/2025,71.20,71.39,72.10,71.03,272.83K,-0.39%
03/31/2025,71.48,69.43,71.83,68.81,313.09K,3.06%
